vectorizer,similarity_metric,min_df_param,max_df_param,language,langfilter,accuracy (%),accuracy (average relevancy > 0) (%),ndcg,ndcg (full rank)
tfidf,cosine,0.01,0.7,javascript,True,5.329153605015674,4.819277108433735,0.05146905317428821,0.023224117687793738
tfidf,cosine,0.3,1.0,java,True,0.0,0.0,0.0,0.0
tfidf,cosine,0.6,0.9,javascript,False,0.0,0.0,0.0,0.0
tfidf,cosine,0.2,0.5,python,True,0.0,0.0,0.0,0.0
tfidf,cosine,0.05,0.8,python,False,0.20222446916076847,0.11376564277588168,0.0016381085600005339,0.000258382857521108
tfidf,cosine,0.3,0.7,python,True,0.0,0.0,0.0,0.0
tfidf,cosine,0.05,0.9,python,True,0.20222446916076847,0.11376564277588168,0.0016381085600005339,0.000258382857521108
tfidf,cosine,0.0,0.9,go,False,24.096385542168676,25.961538461538463,0.25930620142741867,0.07136027544933314
tfidf,cosine,0.0,0.8,java,False,22.878228782287824,23.79862700228833,0.22059960927484526,0.10209509473249413
tfidf,cosine,100,None,go,False,20.481927710843372,20.192307692307693,0.18740236260845694,0.05159940190544607
tfidf,cosine,0.1,0.9,javascript,False,0.0,0.0,0.0,0.0
tfidf,cosine,0.05,0.4,python,True,0.10111223458038424,0.0,0.0,0.0
tfidf,cosine,0.3,0.7,python,False,0.0,0.0,0.0,0.0
tfidf,cosine,0.05,0.8,java,True,0.12300123001230012,0.0,0.0,0.0
tfidf,cosine,0.0,1.0,java,True,22.878228782287824,23.79862700228833,0.22059960927484526,0.1019932076029853
tfidf,cosine,0.5,0.6,go,False,0.0,0.0,0.0,0.0
tfidf,cosine,0.3,0.6,java,False,0.0,0.0,0.0,0.0
tfidf,cosine,0.01,0.6,go,True,2.4096385542168677,1.9230769230769231,0.013067040369730073,0.0023935196366575997
tfidf,cosine,0.3,0.9,javascript,True,0.0,0.0,0.0,0.0
tfidf,rbf,100,1.0,python,False,24.469160768452983,25.483503981797494,0.28485839171554095,0.14693658391331924
tfidf,cosine,0.6,0.8,java,False,0.0,0.0,0.0,0.0
tfidf,cosine,0.5,1.0,javascript,False,0.0,0.0,0.0,0.0
tfidf,cosine,0.1,0.8,javascript,True,0.0,0.0,0.0,0.0
tfidf,cosine,0.3,1.0,python,True,0.0,0.0,0.0,0.0
tfidf,cosine,0.05,0.6,go,True,0.0,0.0,0.0,0.0
tfidf,cosine,0.2,0.6,javascript,True,0.0,0.0,0.0,0.0
tfidf,cosine,0.6,1.0,java,True,0.0,0.0,0.0,0.0
